LANDUSE,_COL2,ID,LUAS,FID_1,KELURAHAN,KECAMATAN,NAMA_DESA,SAMUDERA
Kebun,120,2,1.530000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,3.540000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,1.170000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.730000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,6.120000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,1.620000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,3.010000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,3.920000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,22.469999999999900,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,17.260000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,3.130000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.720000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,6.150000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,1.950000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.480000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.190000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.560000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,6.130000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.820000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.470000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,2.330000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,1.220000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,1.240000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,1.950000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.750000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,5.460000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,1.960000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,6.730000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,3.560000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.740000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,1.350000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,3.640000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,32.170000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,8.330000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,55.149999999999900,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,159.669999999999000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.700000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,7.060000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,2.010000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,1.350000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,1.670000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,1.020000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,2.670000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,2.140000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.790000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,2.030000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,7.520000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,4.360000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,170.729999999999000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,6.010000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.810000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,14.310000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.120000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.430000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,3.710000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.000000000000000,0,,,,
Kebun,120,2,1.830000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,2.480000000000000,0,,,,
Kebun,120,2,0.620000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,1.680000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,0.000000000000000,0,,,,
Kebun,120,2,1.130000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,446.750000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,124.770000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,5.210000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,15.900000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,3.170000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Kebun,120,2,12.940000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,1.190000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,15.210000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,2.410000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,15.100000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,51.479999999999900,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,2.480000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,3.360000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,0.620000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,0.680000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,2.200000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,1.370000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,2.890000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,1.790000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,0.480000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,45.039999999999900,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,6.110000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,8.710000000000000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
Ladang,23,5,139.919999999999000,1,KEL. BALAI GADANG,KEC. KOTO TANGAH,Balai Gadang,
